FOC1,FOC2,FOC3
1248.569946,1189.619995,1110.780029
1262.339966,1191.540039,1118.780029
1236.98999,1123.97998,1118.780029
1225.199951,1202.97998,1098.52002
1246.130005,1065.609985,1082.52002
1232.079956,1106.52002,1110.780029
1238.709961,1077.349976,1094.780029
1240.650024,1095.599976,1086.780029
1232.459961,1088.719971,1114.52002
1236.680054,1132.550049,1078.780029
1238.099976,1113.949951,1106.52002
1250.27002,1135.689941,1086.780029
1249.76001,1187.150024,1082.52002
1243.27002,1131.630005,1090.52002
1251.790039,1042.23999,1078.27002
1240.290039,1110.709961,1130.52002
1237.01001,1078.72998,1134.27002
1244.469971,1183.380005,1066.52002
1242.089966,1043.23999,1106.52002
1241.810059,1149.709961,1110.27002
1254.689941,1149.920044,1094.780029
1254.800049,1072.319946,1126.27002
1219.040039,1100.329956,1106.52002
1263.97998,1146.390015,1102.27002
1236.709961,1079.01001,1102.27002
1236.030029,1097.209961,1098.52002
1265.650024,1135.209961,1098.52002
1218.349976,1157.619995,1102.27002
1248.699951,1100.73999,1110.27002
1245.560059,1034.800049,1102.27002
1238.949951,1083.109985,1126.27002
1239.280029,1089.670044,1106.52002
1236.640015,1001.830017,1126.27002
1261.930054,1018.75,1106.52002
1246.949951,1025.300049,1122.52002
1233.810059,1025.930054,1126.27002
1268.569946,1094.900024,1102.780029
1242.310059,1035.439941,1094.27002
1240.52002,1063.079956,1102.27002
1226.73999,1056.060059,1106.52002
1006.23999,1151.27002,1098.52002
666.1099854,1181.680054,1098.52002
682.039978,1250.23999,1122.52002
718.75,1125.439941,1122.52002
700.1599731,1204.26001,1122.52002
685.8300171,1175.290039,1098.52002
696.8099976,1221.849976,1110.27002
685.3800049,1200.839966,1106.52002
691.4199829,1121.800049,1094.780029
707.7600098,1171.310059,1118.780029
704.3099976,1198.48999,1086.780029
696.2299805,1209.349976,1114.52002
830.289978,1123.569946,1114.52002
707.3200073,1168.930054,1122.52002
703.0900269,1153.959961,1102.27002
700.75,1211.050049,1130.52002
692.5200195,1211.959961,1074.52002
689.539978,1197.400024,1130.52002
695.3699951,1163.329956,1138.52002
701.0800171,1162.52002,1130.52002
704.8300171,1172.949951,1182.780029
704.8900146,1200.73999,1130.52002
673.6400146,1186.97998,1166.27002
